"","region","gender","age","education","l2501","l2502","l2503","l2504","l2505","l2506","l2507","l2508","l2509","l2510","l2511","l2512","l2513","l2514","l2515"
"237",2,1,1968,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",2,1,1957,3,5,4,3,3,5,5,1,3,4,3,3,5,5,8,5
"239",2,1,1944,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"240",2,1,1972,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",2,2,1991,4,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8
"242",2,1,1951,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",2,1,1968,4,8,3,4,3,3,2,3,3,4,8,8,8,4,3,3
"244",2,1,1949,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",2,1,1956,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",2,2,1938,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",2,2,1964,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",2,1,1956,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",2,1,1941,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",2,1,1963,3,8,8,8,8,3,8,8,8,8,8,8,8,8,8,8
"251",2,2,1971,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",2,2,1935,1,8,8,4,8,5,8,4,8,8,8,8,8,8,8,8
"253",2,1,1975,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",2,1,1952,1,4,4,4,8,8,8,5,8,8,8,8,8,8,8,8
"255",2,1,1956,3,4,4,2,5,5,1,5,1,1,8,8,5,1,1,1
"256",2,2,1926,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"257",2,1,1973,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",2,2,1946,3,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8
"259",2,1,1979,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",2,2,1937,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",2,1,1926,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",2,2,1957,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
