"","id","l2501","l2502","l2503","l2504","l2505","l2506","l2507","l2508","l2509","l2510","l2511","l2512","l2513","l2514","l2515","region","gender","age","education"
"241",850,4,5,4,2,1,2,4,5,5,5,1,4,3.89578250261415,2,5,2,2,25,4
"242",851,3,4,3,4,4,3,4,4,3,4,4,2,4,2,3,2,1,46,6
"243",857,3,3,3,3,4,3,4,3,3,3,3,3,3,2,4,2,2,45,4
"244",858,3,3,3,3,3,2.92810902896082,4.14543630892678,3.5040500736377,4.06256481161424,3,3,3,3,3,3.81396981396981,2,1,45,4
"245",861,4,5,5,2,4,5,4,5,5,4,4,5,4,4,5,2,1,20,12
"246",863,4,2,4,2,4,2,4,5,4,2,4,2,4,2,4,1,2,61,3
"247",868,3,3,4,3,3,3,3,4,3,3,4,3,4,4,3,1,1,31,6
"248",872,4,3,3,2,4,3,4,3,4,3,4,3,4,3,4,1,1,21,6
"249",875,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,19,6
"250",889,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,1,2,32,9
"251",893,5,3,5,3,5,1,5,1,5,3,3,3,5,4,3,1,2,50,10
"252",894,1,5,5,2,4,1,5,5,5,5,5,5,4,4,4,1,2,19,6
"253",899,3,4,4,3,4,2,4,3,4,4,4,4,4,3,3,1,1,41,9
"254",900,3,5,5,1,4,3,4,3,5,3,4,3,4,2,4,1,2,28,12
"255",902,3,4,3,3,4,3,3,4,4,5,3,4,4,4,3,1,1,29,10
"256",904,3,3,3,3,4,4,4,2,4,4,2,4,4,3,3,1,1,39,4
"257",909,2,5,5,1,5,4,5,5,3,1,3,3,5,5,3,1,2,39,4
"258",912,2,4,3,2,3,2,5,2,4,3,4,2,3,3,1,1,1,27,10
"259",913,4,2,4,2,4,2,4,2,4,4,4,4,4,2,4,2,1,19,4
"260",919,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,2,2,20,10
"261",922,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,2,2,39,12
"262",924,5,4,2,1,5,1,5,3,5,3,3,3,3,3,3,2,2,20,10
"263",927,4,4,5,1,5,4,5,4,5,4,5,1,5,1,5,2,2,27,4
